Country or region,Rank,Score,GDP,Health,year,States
Dominican Republic,86,5.23000001907349,1.07937383651733,0.574873745441437,2017,NORTH AMERICA
Greece,87,5.22700023651123,1.28948748111725,0.810198903083801,2017,EUROPE
Lebanon,88,5.22499990463257,1.07498753070831,0.735081076622009,2017,ASIA
Portugal,89,5.19500017166138,1.3151752948761,0.795843541622162,2017,EUROPE
Bosnia and Herzegovina,90,5.18200016021729,0.982409417629242,0.705186307430267,2017,EUROPE
Honduras,91,5.18100023269653,0.730573117733002,0.582569479942322,2017,NORTH AMERICA
Macedonia,92,5.17500019073486,1.06457793712616,0.644948184490204,2017,EUROPE
Somalia,93,5.15100002288818,0.0226431842893362,0.113989137113094,2017,AFRICA
Vietnam,94,5.07399988174438,0.788547575473785,0.652168989181519,2017,ASIA
Nigeria,95,5.07399988174438,0.783756256103516,0.0569157302379608,2017,AFRICA
Tajikistan,96,5.04099988937378,0.524713635444641,0.529235124588013,2017,ASIA
Bhutan,97,5.01100015640259,0.885416388511658,0.495879292488098,2017,ASIA
Kyrgyzstan,98,5.00400018692017,0.596220076084137,0.553457796573639,2017,ASIA
Nepal,99,4.96199989318848,0.479820191860199,0.504130780696869,2017,ASIA
Mongolia,100,4.95499992370605,1.02723586559296,0.557783484458923,2017,ASIA
South Africa,101,4.8289999961853,1.05469870567322,0.187080070376396,2017,AFRICA
Tunisia,102,4.80499982833862,1.00726580619812,0.613212049007416,2017,AFRICA
Palestinian Territories,103,4.77500009536743,0.716249227523804,0.565666973590851,2017,AFRICA
Egypt,104,4.7350001335144,0.989701807498932,0.520187258720398,2017,AFRICA
Bulgaria,105,4.71400022506714,1.1614590883255,0.708217680454254,2017,EUROPE
Sierra Leone,106,4.70900011062622,0.36842092871666,0.0055647538974881,2017,AFRICA
Cameroon,107,4.69500017166138,0.564305365085602,0.132892116904259,2017,AFRICA
Iran,108,4.69199991226196,1.15687310695648,0.639333188533783,2017,ASIA
Albania,109,4.64400005340576,0.996192753314972,0.731159746646881,2017,ASIA
Bangladesh,110,4.60799980163574,0.586682975292206,0.533241033554077,2017,ASIA
Namibia,111,4.57399988174438,0.964434325695038,0.33861181139946,2017,AFRICA
Kenya,112,4.55299997329712,0.560479462146759,0.309988349676132,2017,AFRICA
Mozambique,113,4.55000019073486,0.234305649995804,0.106654435396194,2017,AFRICA
Myanmar,114,4.54500007629395,0.367110550403595,0.397522568702698,2017,ASIA
Senegal,115,4.53499984741211,0.479309022426605,0.409362852573395,2017,AFRICA
Zambia,116,4.51399993896484,0.636406779289246,0.257835894823074,2017,AFRICA
Iraq,117,4.49700021743774,1.10271048545837,0.501180469989777,2017,ASIA
Gabon,118,4.46500015258789,1.1982102394104,0.356578588485718,2017,AFRICA
Ethiopia,119,4.46000003814697,0.339233845472336,0.353409707546234,2017,AFRICA
Sri Lanka,120,4.44000005722046,1.00985014438629,0.625130832195282,2017,ASIA
Armenia,121,4.37599992752075,0.900596737861633,0.637524425983429,2017,ASIA
India,122,4.31500005722046,0.792221248149872,0.455427616834641,2017,ASIA
Mauritania,123,4.29199981689453,0.648457288742065,0.285349279642105,2017,AFRICA
Congo,124,4.29099988937378,0.808964252471924,0.28995743393898,2017,AFRICA
Georgia,125,4.28599977493286,0.950612664222717,0.649546980857849,2017,EUROPE
Dem. Rep. Congo,126,4.28000020980835,0.0921023488044739,0.191407024860382,2017,AFRICA
Mali,127,4.19000005722046,0.476180493831635,0.169365674257278,2017,AFRICA
Ivory Coast,128,4.17999982833862,0.603048920631409,0.0486421696841717,2017,AFRICA
Cambodia,129,4.16800022125244,0.601765096187592,0.429783403873444,2017,ASIA
Sudan,130,4.13899993896484,0.65951669216156,0.290920823812485,2017,AFRICA
Ghana,131,4.11999988555908,0.667224824428558,0.295637726783752,2017,AFRICA
Ukraine,132,4.09600019454956,0.89465194940567,0.575903952121735,2017,EUROPE
Uganda,133,4.08099985122681,0.381430715322495,0.217632606625557,2017,AFRICA
Burkina Faso,134,4.03200006484985,0.3502277135849,0.215844258666039,2017,AFRICA
Niger,135,4.02799987792969,0.161925330758095,0.26850500702858,2017,AFRICA
Malawi,136,3.97000002861023,0.233442038297653,0.315089583396912,2017,AFRICA
Chad,137,3.93600010871887,0.438012987375259,0.0411347150802612,2017,AFRICA
Zimbabwe,138,3.875,0.375846534967422,0.196763753890991,2017,AFRICA
Lesotho,139,3.80800008773804,0.521021246910095,0.0,2017,AFRICA
Angola,140,3.79500007629395,0.858428180217743,0.0498686656355858,2017,AFRICA
Afghanistan,141,3.79399991035461,0.401477217674255,0.180746778845787,2017,ASIA
Botswana,142,3.76600003242493,1.12209415435791,0.341755509376526,2017,AFRICA
Benin,143,3.65700006484985,0.431085407733917,0.209930211305618,2017,AFRICA
Madagascar,144,3.64400005340576,0.305808693170547,0.375223308801651,2017,AFRICA
Haiti,145,3.6029999256134,0.368610262870789,0.277321130037308,2017,NORTH AMERICA
Yemen,146,3.59299993515015,0.591683447360992,0.310080915689468,2017,ASIA
South Sudan,147,3.59100008010864,0.39724862575531,0.163486003875732,2017,AFRICA
Liberia,148,3.53299999237061,0.119041793048382,0.229918196797371,2017,AFRICA
Guinea,149,3.50699996948242,0.244549930095673,0.194129139184952,2017,AFRICA
Togo,150,3.49499988555908,0.305444717407227,0.247105568647385,2017,AFRICA
Rwanda,151,3.47099995613098,0.368745893239975,0.326424807310104,2017,AFRICA
Syria,152,3.46199989318848,0.777153134346008,0.50053334236145,2017,ASIA
Tanzania,153,3.34899997711182,0.511135876178741,0.364509284496307,2017,AFRICA
Burundi,154,2.90499997138977,0.091622568666935,0.151610791683197,2017,AFRICA
Central African Republic,155,2.69300007820129,0.0,0.0187726859003305,2017,AFRICA
Denmark,1,7.526,1.44178,0.79504,2016,EUROPE
Switzerland,2,7.509,1.52733,0.86303,2016,EUROPE
Iceland,3,7.501,1.42666,0.86733,2016,EUROPE
Norway,4,7.498,1.57744,0.79579,2016,EUROPE
Finland,5,7.413,1.40598,0.81091,2016,EUROPE
Canada,6,7.404,1.44015,0.8276,2016,NORTH AMERICA
Netherlands,7,7.339,1.46468,0.81231,2016,EUROPE
New Zealand,8,7.334,1.36066,0.83096,2016,OCEANIA
Australia,9,7.313,1.44443,0.8512,2016,OCEANIA
Sweden,10,7.291,1.45181,0.83121,2016,EUROPE
Israel,11,7.267,1.33766,0.84917,2016,ASIA
Austria,12,7.119,1.45038,0.80565,2016,EUROPE
United States,13,7.104,1.50796,0.779,2016,NORTH AMERICA
Costa Rica,14,7.087,1.06879,0.76146,2016,NORTH AMERICA
Puerto Rico,15,7.039,1.35943,0.77758,2016,NORTH AMERICA
Germany,16,6.994,1.44787,0.81487,2016,EUROPE
Brazil,17,6.952,1.08754,0.61415,2016,SOUTH AMERICA
Belgium,18,6.929,1.42539,0.81959,2016,EUROPE
Ireland,19,6.907,1.48341,0.81455,2016,EUROPE
Luxembourg,20,6.871,1.69752,0.84542,2016,ASIA
Mexico,21,6.778,1.11508,0.71143,2016,NORTH AMERICA
Singapore,22,6.739,1.64555,0.94719,2016,ASIA
United Kingdom,23,6.725,1.40283,0.80991,2016,EUROPE
Chile,24,6.705,1.2167,0.81883,2016,SOUTH AMERICA
Panama,25,6.701,1.18306,0.70835,2016,NORTH AMERICA
Argentina,26,6.65,1.15137,0.69711,2016,SOUTH AMERICA
Czech Republic,27,6.596,1.30915,0.76376,2016,EUROPE
United Arab Emirates,28,6.573,1.57352,0.72993,2016,ASIA
Uruguay,29,6.545,1.18157,0.72183,2016,SOUTH AMERICA
Malta,30,6.488,1.30782,0.80315,2016,EUROPE
Colombia,31,6.481,1.03032,0.59659,2016,SOUTH AMERICA
France,32,6.478,1.39488,0.83795,2016,EUROPE
Thailand,33,6.474,1.0893,0.64915,2016,ASIA
Saudi Arabia,34,6.379,1.48953,0.59267,2016,ASIA
Taiwan Province of China,34,6.379,1.39729,0.79565,2016,ASIA
Qatar,36,6.375,1.82427,0.71723,2016,ASIA
Spain,37,6.361,1.34253,0.87896,2016,EUROPE
Algeria,38,6.355,1.05266,0.61804,2016,AFRICA
Guatemala,39,6.324,0.83454,0.54039,2016,NORTH AMERICA
Suriname,40,6.269,1.09686,0.50933,2016,SOUTH AMERICA
Kuwait,41,6.239,1.61714,0.63569,2016,ASIA
Bahrain,42,6.218,1.44024,0.65696,2016,ASIA
Trinidad and Tobago,43,6.168,1.32572,0.52608,2016,NORTH AMERICA
Venezuela,44,6.084,1.13367,0.61904,2016,SOUTH AMERICA
Slovakia,45,6.078,1.27973,0.70367,2016,EUROPE
El Salvador,46,6.068,0.8737,0.596,2016,NORTH AMERICA
Malaysia,47,6.005,1.25142,0.62366,2016,ASIA
Nicaragua,48,5.992,0.69384,0.65213,2016,NORTH AMERICA
Uzbekistan,49,5.987,0.73591,0.50163,2016,ASIA
Italy,50,5.977,1.35495,0.85102,2016,EUROPE
Ecuador,51,5.976,0.97306,0.68613,2016,SOUTH AMERICA
Belize,52,5.956,0.87616,0.45569,2016,NORTH AMERICA
Japan,53,5.921,1.38007,0.91491,2016,ASIA
Kazakhstan,54,5.919,1.22943,0.57386,2016,ASIA
Moldova,55,5.897,0.69177,0.52309,2016,EUROPE
Russia,56,5.856,1.23228,0.58991,2016,EUROPE
Poland,57,5.835,1.24585,0.69058,2016,EUROPE
South Korea,57,5.835,1.35948,0.88645,2016,ASIA
Bolivia,59,5.822,0.79422,0.4697,2016,SOUTH AMERICA
Lithuania,60,5.813,1.2692,0.64674,2016,EUROPE
Belarus,61,5.802,1.13062,0.63104,2016,EUROPE
North Cyprus,62,5.771,1.31141,0.84142,2016,EUROPE
Slovenia,63,5.768,1.29947,0.79151,2016,EUROPE
Peru,64,5.743,0.99602,0.62994,2016,SOUTH AMERICA
Turkmenistan,65,5.658,1.08017,0.44006,2016,ASIA
Mauritius,66,5.648,1.14372,0.66189,2016,AFRICA
Libya,67,5.615,1.06688,0.52304,2016,AFRICA
Latvia,68,5.56,1.21788,0.63952,2016,EUROPE
Cyprus,69,5.546,1.31857,0.8488,2016,ASIA
Paraguay,70,5.538,0.89373,0.58295,2016,SOUTH AMERICA
Romania,71,5.528,1.1697,0.67602,2016,EUROPE
Estonia,72,5.517,1.27964,0.68098,2016,EUROPE
Jamaica,73,5.51,0.89333,0.59469,2016,NORTH AMERICA
Croatia,74,5.488,1.18649,0.70524,2016,EUROPE
Hong Kong,75,5.458,1.5107,0.95277,2016,ASIA
Somalia,76,5.44,0.0,0.11466,2016,AFRICA
Kosovo,77,5.401,0.90145,0.54,2016,EUROPE
Turkey,78,5.389,1.16492,0.64718,2016,ASIA
Indonesia,79,5.314,0.95104,0.49374,2016,ASIA
Jordan,80,5.303,0.99673,0.60712,2016,ASIA
Azerbaijan,81,5.291,1.12373,0.54504,2016,ASIA
Philippines,82,5.279,0.81217,0.47036,2016,ASIA
China,83,5.245,1.0278,0.73561,2016,ASIA
Bhutan,84,5.196,0.8527,0.49759,2016,ASIA
Kyrgyzstan,85,5.185,0.56044,0.55449,2016,ASIA
Serbia,86,5.177,1.03437,0.6458,2016,EUROPE
Bosnia and Herzegovina,87,5.163,0.93383,0.70766,2016,EUROPE
Montenegro,88,5.161,1.07838,0.63533,2016,EUROPE
Dominican Republic,89,5.155,1.02787,0.57669,2016,NORTH AMERICA
Morocco,90,5.151,0.84058,0.59471,2016,AFRICA
Hungary,91,5.145,1.24142,0.67608,2016,EUROPE
Pakistan,92,5.132,0.68816,0.40306,2016,ASIA
Lebanon,93,5.129,1.12268,0.76171,2016,ASIA
Portugal,94,5.123,1.27607,0.79363,2016,EUROPE
Macedonia,95,5.121,1.0193,0.64738,2016,EUROPE
Vietnam,96,5.061,0.74037,0.66157,2016,ASIA
Somaliland Region,97,5.057,0.25558,0.33108,2016,AFRICA
Tunisia,98,5.045,0.97724,0.59577,2016,AFRICA
Greece,99,5.033,1.24886,0.80029,2016,EUROPE
Tajikistan,100,4.996,0.48835,0.53119,2016,ASIA
Mongolia,101,4.907,0.98853,0.55469,2016,ASIA
Laos,102,4.876,0.68042,0.38291,2016,ASIA
Nigeria,103,4.875,0.75216,0.05108,2016,AFRICA
Honduras,104,4.871,0.69429,0.58383,2016,NORTH AMERICA
Iran,105,4.813,1.11758,0.64232,2016,ASIA
Zambia,106,4.795,0.61202,0.23573,2016,AFRICA
Nepal,107,4.793,0.44626,0.50073,2016,ASIA
Palestinian Territories,108,4.754,0.67024,0.56844,2016,AFRICA
Albania,109,4.655,0.9553,0.73007,2016,ASIA
Bangladesh,110,4.643,0.54177,0.52989,2016,ASIA
Sierra Leone,111,4.635,0.36485,0.0,2016,AFRICA
Iraq,112,4.575,1.07474,0.51076,2016,ASIA
Namibia,113,4.574,0.93287,0.34745,2016,AFRICA
Cameroon,114,4.513,0.52497,0.12698,2016,AFRICA
Ethiopia,115,4.508,0.29283,0.34578,2016,AFRICA
South Africa,116,4.459,1.02416,0.18611,2016,AFRICA
Sri Lanka,117,4.415,0.97318,0.62007,2016,ASIA
India,118,4.404,0.74036,0.45091,2016,ASIA
Myanmar,119,4.395,0.34112,0.3988,2016,ASIA
Egypt,120,4.362,0.95395,0.52116,2016,AFRICA
Armenia,121,4.36,0.86086,0.64083,2016,ASIA
Kenya,122,4.356,0.52267,0.30147,2016,AFRICA
Ukraine,123,4.324,0.87287,0.58628,2016,EUROPE
Ghana,124,4.276,0.63107,0.29681,2016,AFRICA
Dem. Rep. Congo,125,4.272,0.05661,0.188,2016,AFRICA
Georgia,126,4.252,0.83792,0.64035,2016,EUROPE
Congo,127,4.236,0.77109,0.28212,2016,AFRICA
Senegal,128,4.219,0.44314,0.40457,2016,AFRICA
Bulgaria,129,4.217,1.11306,0.67806,2016,EUROPE
Mauritania,130,4.201,0.61391,0.28639,2016,AFRICA
Zimbabwe,131,4.193,0.35041,0.1595,2016,AFRICA
Malawi,132,4.156,0.08709,0.29364,2016,AFRICA
Sudan,133,4.139,0.63069,0.29759,2016,AFRICA
Gabon,134,4.121,1.15851,0.3494,2016,AFRICA
Mali,135,4.073,0.31292,0.16347,2016,AFRICA
Haiti,136,4.028,0.34097,0.27494,2016,NORTH AMERICA
Botswana,137,3.974,1.09426,0.34752,2016,AFRICA
Comoros,138,3.956,0.27509,0.29981,2016,AFRICA
Ivory Coast,139,3.916,0.55507,0.04476,2016,AFRICA
Cambodia,140,3.907,0.55604,0.42494,2016,ASIA
Angola,141,3.866,0.84731,0.04991,2016,AFRICA
Niger,142,3.856,0.1327,0.26162,2016,AFRICA
South Sudan,143,3.832,0.39394,0.15781,2016,AFRICA
Chad,144,3.763,0.42214,0.03824,2016,AFRICA
Burkina Faso,145,3.739,0.31995,0.21297,2016,AFRICA
Uganda,145,3.739,0.34719,0.19625,2016,AFRICA
Yemen,147,3.724,0.57939,0.31048,2016,ASIA
Madagascar,148,3.695,0.27954,0.37109,2016,AFRICA
Tanzania,149,3.666,0.47155,0.357,2016,AFRICA
Liberia,150,3.622,0.10706,0.23165,2016,AFRICA
Guinea,151,3.607,0.22415,0.18829,2016,AFRICA
Rwanda,152,3.515,0.32846,0.31865,2016,AFRICA
Benin,153,3.484,0.39499,0.21028,2016,AFRICA
Afghanistan,154,3.36,0.38227,0.17344,2016,ASIA
Togo,155,3.303,0.28123,0.24811,2016,AFRICA
Syria,156,3.069,0.74719,0.62994,2016,ASIA
Burundi,157,2.905,0.06831,0.15747,2016,AFRICA
Switzerland,1,7.587,1.39651,0.94143,2015,EUROPE
Iceland,2,7.561,1.30232,0.94784,2015,EUROPE
Denmark,3,7.527,1.32548,0.87464,2015,EUROPE
Norway,4,7.522,1.459,0.88521,2015,EUROPE
Canada,5,7.427,1.32629,0.90563,2015,NORTH AMERICA
Finland,6,7.406,1.29025,0.88911,2015,EUROPE
Netherlands,7,7.378,1.32944,0.89284,2015,EUROPE
Sweden,8,7.364,1.33171,0.91087,2015,EUROPE
New Zealand,9,7.286,1.25018,0.90837,2015,OCEANIA
Australia,10,7.284,1.33358,0.93156,2015,OCEANIA
Israel,11,7.278,1.22857,0.91387,2015,ASIA
Costa Rica,12,7.226,0.95578,0.86027,2015,NORTH AMERICA
Austria,13,7.2,1.33723,0.89042,2015,EUROPE
Mexico,14,7.187,1.02054,0.81444,2015,NORTH AMERICA
United States,15,7.119,1.39451,0.86179,2015,NORTH AMERICA
Brazil,16,6.983,0.98124,0.69702,2015,SOUTH AMERICA
Luxembourg,17,6.946,1.56391,0.91894,2015,ASIA
Ireland,18,6.94,1.33596,0.89533,2015,EUROPE
Belgium,19,6.937,1.30782,0.89667,2015,EUROPE
United Arab Emirates,20,6.901,1.42727,0.80925,2015,ASIA
United Kingdom,21,6.867,1.26637,0.90943,2015,EUROPE
Oman,22,6.853,1.36011,0.76276,2015,ASIA
Venezuela,23,6.81,1.04424,0.72052,2015,SOUTH AMERICA
Singapore,24,6.798,1.52186,1.02525,2015,ASIA
Panama,25,6.786,1.06353,0.79661,2015,NORTH AMERICA
Germany,26,6.75,1.32792,0.89186,2015,EUROPE
Chile,27,6.67,1.10715,0.85857,2015,SOUTH AMERICA
Qatar,28,6.611,1.69042,0.79733,2015,ASIA
France,29,6.575,1.27778,0.94579,2015,EUROPE
Argentina,30,6.574,1.05351,0.78723,2015,SOUTH AMERICA
Czech Republic,31,6.505,1.17898,0.84483,2015,EUROPE
Uruguay,32,6.485,1.06166,0.8116,2015,SOUTH AMERICA
Colombia,33,6.477,0.91861,0.69077,2015,SOUTH AMERICA
Thailand,34,6.455,0.9669,0.7385,2015,ASIA
Saudi Arabia,35,6.411,1.39541,0.72025,2015,ASIA
Spain,36,6.329,1.23011,0.95562,2015,EUROPE
Malta,37,6.302,1.2074,0.88721,2015,EUROPE
Taiwan Province of China,38,6.298,1.29098,0.8753,2015,ASIA
Kuwait,39,6.295,1.55422,0.72492,2015,ASIA
Suriname,40,6.269,0.99534,0.6082,2015,SOUTH AMERICA
Trinidad and Tobago,41,6.168,1.21183,0.61483,2015,NORTH AMERICA
El Salvador,42,6.13,0.76454,0.67737,2015,NORTH AMERICA
Guatemala,43,6.123,0.74553,0.64425,2015,NORTH AMERICA
Uzbekistan,44,6.003,0.63244,0.59772,2015,ASIA
Slovakia,45,5.995,1.16891,0.78902,2015,EUROPE
Japan,46,5.987,1.27074,0.99111,2015,ASIA
South Korea,47,5.984,1.24461,0.96538,2015,ASIA
Ecuador,48,5.975,0.86402,0.79075,2015,SOUTH AMERICA
Bahrain,49,5.96,1.32376,0.74716,2015,ASIA
Italy,50,5.948,1.25114,0.95446,2015,EUROPE
Bolivia,51,5.89,0.68133,0.5392,2015,SOUTH AMERICA
Moldova,52,5.889,0.59448,0.61826,2015,EUROPE
Paraguay,53,5.878,0.75985,0.66098,2015,SOUTH AMERICA
Kazakhstan,54,5.855,1.12254,0.64368,2015,ASIA
Slovenia,55,5.848,1.18498,0.87337,2015,EUROPE
Lithuania,56,5.833,1.14723,0.73128,2015,EUROPE
Nicaragua,57,5.828,0.59325,0.74314,2015,NORTH AMERICA
Peru,58,5.824,0.90019,0.73017,2015,SOUTH AMERICA
Belarus,59,5.813,1.03192,0.73608,2015,EUROPE
Poland,60,5.791,1.12555,0.77903,2015,EUROPE
Malaysia,61,5.77,1.12486,0.72394,2015,ASIA
Croatia,62,5.759,1.08254,0.78805,2015,EUROPE
Libya,63,5.754,1.13145,0.7038,2015,AFRICA
Russia,64,5.716,1.13764,0.66926,2015,EUROPE
Jamaica,65,5.709,0.81038,0.68741,2015,NORTH AMERICA
North Cyprus,66,5.695,1.20806,0.92356,2015,EUROPE
Cyprus,67,5.689,1.20813,0.92356,2015,ASIA
Algeria,68,5.605,0.93929,0.61766,2015,AFRICA
Kosovo,69,5.589,0.80148,0.63132,2015,EUROPE
Turkmenistan,70,5.548,0.95847,0.53886,2015,ASIA
Mauritius,71,5.477,1.00761,0.7095,2015,AFRICA
Hong Kong,72,5.474,1.38604,1.01328,2015,ASIA
Estonia,73,5.429,1.15174,0.77361,2015,EUROPE
Indonesia,74,5.399,0.82827,0.63793,2015,ASIA
Vietnam,75,5.36,0.63216,0.74676,2015,ASIA
Turkey,76,5.332,1.06098,0.73172,2015,ASIA
Kyrgyzstan,77,5.286,0.47428,0.65088,2015,ASIA
Nigeria,78,5.268,0.65435,0.16007,2015,AFRICA
Bhutan,79,5.253,0.77042,0.57407,2015,ASIA
Azerbaijan,80,5.212,1.02389,0.64045,2015,ASIA
Pakistan,81,5.194,0.59543,0.51466,2015,ASIA
Jordan,82,5.192,0.90198,0.69639,2015,ASIA
Montenegro,82,5.192,0.97438,0.72521,2015,EUROPE
China,84,5.14,0.89012,0.81658,2015,ASIA
Zambia,85,5.129,0.47038,0.29924,2015,AFRICA
Romania,86,5.124,1.04345,0.7689,2015,EUROPE
Serbia,87,5.123,0.92053,0.74836,2015,EUROPE
Portugal,88,5.102,1.15991,0.87519,2015,EUROPE
Latvia,89,5.098,1.11312,0.72437,2015,EUROPE
Philippines,90,5.073,0.70532,0.58114,2015,ASIA
Somaliland Region,91,5.057,0.18847,0.43873,2015,AFRICA
Morocco,92,5.013,0.73479,0.60954,2015,AFRICA
Macedonia,93,5.007,0.91851,0.73545,2015,EUROPE
Mozambique,94,4.971,0.08308,0.09131,2015,AFRICA
Albania,95,4.959,0.87867,0.81325,2015,ASIA
Bosnia and Herzegovina,96,4.949,0.83223,0.79081,2015,EUROPE
Lesotho,97,4.898,0.37545,0.07612,2015,AFRICA
Dominican Republic,98,4.885,0.89537,0.66825,2015,NORTH AMERICA
Laos,99,4.876,0.59066,0.54909,2015,ASIA
Mongolia,100,4.874,0.82819,0.60268,2015,ASIA
Swaziland,101,4.867,0.71206,0.07566,2015,AFRICA
Greece,102,4.857,1.15406,0.88213,2015,EUROPE
Lebanon,103,4.839,1.02564,0.83947,2015,ASIA
Hungary,104,4.8,1.12094,0.75905,2015,EUROPE
Honduras,105,4.788,0.59532,0.6951,2015,NORTH AMERICA
Tajikistan,106,4.786,0.39047,0.57379,2015,ASIA
Tunisia,107,4.739,0.88113,0.73793,2015,AFRICA
Palestinian Territories,108,4.715,0.59867,0.66015,2015,AFRICA
Bangladesh,109,4.694,0.39753,0.60164,2015,ASIA
Iran,110,4.686,1.0088,0.69805,2015,ASIA
Ukraine,111,4.681,0.79907,0.6739,2015,EUROPE
Iraq,112,4.677,0.98549,0.60237,2015,ASIA
South Africa,113,4.642,0.92049,0.27688,2015,AFRICA
Ghana,114,4.633,0.54558,0.40132,2015,AFRICA
Zimbabwe,115,4.61,0.271,0.33475,2015,AFRICA
Liberia,116,4.571,0.0712,0.34201,2015,AFRICA
India,117,4.565,0.64499,0.51529,2015,ASIA
Sudan,118,4.55,0.52107,0.36878,2015,AFRICA
Haiti,119,4.518,0.26673,0.38847,2015,NORTH AMERICA
Dem. Rep. Congo,120,4.517,0.0,0.09806,2015,AFRICA
Nepal,121,4.514,0.35997,0.56874,2015,ASIA
Ethiopia,122,4.512,0.19073,0.44055,2015,AFRICA
Sierra Leone,123,4.507,0.33024,0.0,2015,AFRICA
Mauritania,124,4.436,0.45407,0.35874,2015,AFRICA
Kenya,125,4.419,0.36471,0.41435,2015,AFRICA
Djibouti,126,4.369,0.44025,0.36291,2015,AFRICA
Armenia,127,4.35,0.76821,0.7299,2015,ASIA
Botswana,128,4.332,0.99355,0.04776,2015,AFRICA
Myanmar,129,4.307,0.27108,0.48246,2015,ASIA
Georgia,130,4.297,0.7419,0.72926,2015,EUROPE
Malawi,131,4.292,0.01604,0.22562,2015,AFRICA
Sri Lanka,132,4.271,0.83524,0.70806,2015,ASIA
Cameroon,133,4.252,0.4225,0.23402,2015,AFRICA
Bulgaria,134,4.218,1.01216,0.76649,2015,EUROPE
Egypt,135,4.194,0.8818,0.61712,2015,AFRICA
Yemen,136,4.077,0.54649,0.40064,2015,ASIA
Angola,137,4.033,0.75778,0.16683,2015,AFRICA
Mali,138,3.995,0.26074,0.20583,2015,AFRICA
Congo,139,3.989,0.67866,0.31051,2015,AFRICA
Comoros,140,3.956,0.23906,0.36315,2015,AFRICA
Uganda,141,3.931,0.21102,0.33861,2015,AFRICA
Senegal,142,3.904,0.36498,0.4354,2015,AFRICA
Gabon,143,3.896,1.06024,0.43372,2015,AFRICA
Niger,144,3.845,0.0694,0.29707,2015,AFRICA
Cambodia,145,3.819,0.46038,0.61114,2015,ASIA
Tanzania,146,3.781,0.2852,0.38215,2015,AFRICA
Madagascar,147,3.681,0.20824,0.46721,2015,AFRICA
Central African Republic,148,3.678,0.0785,0.06699,2015,AFRICA
Chad,149,3.667,0.34193,0.1501,2015,AFRICA
Guinea,150,3.656,0.17417,0.24009,2015,AFRICA
Ivory Coast,151,3.655,0.46534,0.15185,2015,AFRICA
Burkina Faso,152,3.587,0.25812,0.27125,2015,AFRICA
Afghanistan,153,3.575,0.31982,0.30335,2015,ASIA
Rwanda,154,3.465,0.22208,0.42864,2015,AFRICA
Benin,155,3.34,0.28665,0.3191,2015,AFRICA
Syria,156,3.006,0.6632,0.72193,2015,ASIA
Burundi,157,2.905,0.0153,0.22396,2015,AFRICA
Togo,158,2.839,0.20868,0.28443,2015,AFRICA
